Name,Year,Duration,Rating,MetaScore,Vote,Gross
Sherlock,2010,89,8.3,Unknown,21418,Unknown
Mersal,2017,172,8.1,Unknown,21405,Unknown
Papillon,2017,133,7.1,51,21405,2335896
Padmaavat,2018,164,7.0,63,21354,11846060
I Kill Giants,2017,106,6.2,74,21354,Unknown
"Roman J. Israel, Esq.",2017,122,6.4,58,21307,11962712
Winchester,2018,99,5.4,28,21259,25091816
The Glass Castle,2017,127,7.2,56,21239,17273059
Castle Rock,2018,60,7.8,Unknown,21219,Unknown
Castlevania,2017,23,8.1,Unknown,21204,Unknown
Home Again,2017,97,5.8,41,21022,27020284
Captain Underpants: The First Epic Movie,2017,89,6.2,69,20930,73921000
American Vandal,2017,34,8.2,Unknown,20850,Unknown
Overboard,2018,112,5.9,42,20761,50316123
You,2018,60,8.1,Unknown,20684,Unknown
Braven,2018,94,6.1,61,20672,Unknown
Life of the Party,2018,105,5.5,46,20503,52856061
Young Sheldon,2017,30,7.2,Unknown,20386,Unknown
Mortal Engines,2018,128,6.4,44,20132,15848515
The Favourite,2018,119,8.0,90,19881,20118036
"Game Over, Man!",2018,101,5.4,32,19718,Unknown
Sherlock,2010,88,7.7,Unknown,19717,Unknown
Aus dem Nichts,2017,106,7.1,65,19481,321011
The Wall,2017,88,6.2,57,19279,1803009
Ghost Stories,2017,98,6.4,68,19197,135095
The Strangers: Prey at Night,2018,85,5.2,48,19172,24431472
The 15:17 to Paris,2018,94,5.2,45,19125,36250957
Safe,2018,60,7.3,Unknown,18984,Unknown
Thelma,2017,116,7.0,74,18955,147391
Borg McEnroe,2017,107,7.0,63,18955,14113354
Gringo,2018,111,6.1,46,18727,4969853
The Protector,2018,40,7.7,Unknown,18622,Unknown
Rick and Morty,2013,22,9.8,Unknown,18617,Unknown
Happy!,2017,60,8.3,Unknown,18507,Unknown
The House That Jack Built,2018,152,7.0,42,18406,81857
Green Book,2018,130,8.3,70,18382,36164601
Overlord,2018,110,7.1,60,18216,21704844
Jolly LLB 2,2017,137,7.3,Unknown,18149,1632440
Wonder Wheel,2017,101,6.2,45,18129,1403237
Inhumans,2017,43,5.1,Unknown,18064,Unknown
Goodbye Christopher Robin,2017,107,7.1,54,18033,1735251
Tiger Zinda Hai,2017,161,6.1,Unknown,18018,5560921
The Guernsey Literary and Potato Peel Pie Society,2018,124,7.4,65,17988,Unknown
Megan Leavey,2017,116,7.1,66,17954,13406304
The Book of Henry,2017,105,6.6,31,17782,4219536
The Wizard of Lies,2017,133,6.8,Unknown,17745,Unknown
All Eyez on Me,2017,139,5.8,38,17681,44922302
Teströl és lélekröl,2017,116,7.6,77,17679,Unknown
Dear White People,2017,30,6.3,Unknown,17574,Unknown
Berlin Syndrome,2017,116,6.3,70,17547,28660
Tau,2018,97,5.7,43,17545,Unknown
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,94,7.7,77,17542,Unknown
The Mist,2017,42,5.4,Unknown,17394,Unknown
College Romance,2018,30,9.7,Unknown,17388,Unknown
Last Flag Flying,2017,125,6.9,65,17374,965481
The Grinch,2018,86,6.4,51,17347,269817700
Escape Plan 2: Hades,2018,96,3.8,Unknown,17131,Unknown
Final Space,2018,30,8.4,Unknown,17024,Unknown
The Darkest Minds,2018,104,5.6,39,16987,12695691
Aftermath,2017,94,5.7,44,16963,Unknown
Super Troopers 2,2018,99,6.1,41,16942,30617396
Alias Grace,2017,60,7.9,Unknown,16935,Unknown
The Rain,2018,45,6.3,Unknown,16892,Unknown
The Endless,2017,111,6.5,80,16886,272020
Summer of 84,2018,105,6.7,57,16873,Unknown
Vikram Vedha,2017,147,8.8,Unknown,16869,Unknown
The Lego Ninjago Movie,2017,101,6.0,55,16859,59281555
The Deuce,2017,60,8.1,Unknown,16781,Unknown
Una mujer fantástica,2017,104,7.2,86,16743,2020988
Hagane no renkinjutsushi,2017,135,5.8,48,16365,Unknown
